Gender,Height,Weight,BMI,Goal,Calories,Workout
Male,174,96,31.71,Cutting,2688,60
Male,189,87,24.36,Maintain,2871,30
Female,185,110,32.14,Cutting,2750,60
Female,195,104,27.35,Cutting,2600,60
Male,149,61,27.48,Cutting,1708,60
Male,189,104,29.11,Cutting,2912,60
Male,147,92,42.57,Cutting,2576,60
Male,154,111,46.8,Cutting,3108,60
Male,174,90,29.73,Cutting,2520,60
Female,169,103,36.06,Cutting,2575,60
Male,195,81,21.3,Maintain,2673,30
Female,159,80,31.64,Cutting,2000,60
Female,192,101,27.4,Cutting,2525,60
Male,155,51,21.23,Maintain,1683,30
Male,191,79,21.66,Maintain,2607,30
Female,153,107,45.71,Cutting,2675,60
Female,157,110,44.63,Cutting,2750,60
Male,140,129,65.82,Cutting,3612,60
Male,144,145,69.93,Cutting,4060,60
Male,172,139,46.98,Cutting,3892,60
Male,157,110,44.63,Cutting,3080,60
Female,153,149,63.65,Cutting,3725,60
Female,169,97,33.96,Cutting,2425,60
Male,185,139,40.61,Cutting,3892,60
Female,172,67,22.65,Maintain,2010,30
Female,151,64,28.07,Cutting,1600,60
Male,190,95,26.32,Cutting,2660,60
Male,187,62,17.73,Bulking,2480,45
Female,163,159,59.84,Cutting,3975,60
Male,179,152,47.44,Cutting,4256,60
Male,153,121,51.69,Cutting,3388,60
Male,178,52,16.41,Bulking,2080,45
Female,195,65,17.09,Bulking,2275,45
Female,160,131,51.17,Cutting,3275,60
Female,157,153,62.07,Cutting,3825,60
Female,189,132,36.95,Cutting,3300,60
Female,197,114,29.37,Cutting,2850,60
Male,144,80,38.58,Cutting,2240,60
Female,171,152,51.98,Cutting,3800,60
Female,185,81,23.67,Maintain,2430,30
Female,175,120,39.18,Cutting,3000,60
Female,149,108,48.65,Cutting,2700,60
Male,157,56,22.72,Maintain,1848,30
Male,161,118,45.52,Cutting,3304,60
Female,182,126,38.04,Cutting,3150,60
Male,185,76,22.21,Maintain,2508,30
Female,188,122,34.52,Cutting,3050,60
Male,181,111,33.88,Cutting,3108,60
Male,161,72,27.78,Cutting,2016,60
Male,140,152,77.55,Cutting,4256,60
Female,168,135,47.83,Cutting,3375,60
Female,176,54,17.43,Bulking,1890,45
Male,163,110,41.4,Cutting,3080,60
Male,172,105,35.49,Cutting,2940,60
Male,196,116,30.2,Cutting,3248,60
Female,187,89,25.45,Cutting,2225,60
Male,172,92,31.1,Cutting,2576,60
Male,178,127,40.08,Cutting,3556,60
Female,164,70,26.03,Cutting,1750,60
Male,143,88,43.03,Cutting,2464,60
Female,191,54,14.8,Bulking,1890,45
Female,141,143,71.93,Cutting,3575,60
Male,193,54,14.5,Bulking,2160,45
Male,190,83,22.99,Maintain,2739,30
Male,175,135,44.08,Cutting,3780,60
Female,179,158,49.31,Cutting,3950,60
Female,172,96,32.45,Cutting,2400,60
Female,168,59,20.9,Maintain,1770,30
Female,164,82,30.49,Cutting,2050,60
Female,194,136,36.14,Cutting,3400,60
Female,153,51,21.79,Maintain,1530,30
Male,178,117,36.93,Cutting,3276,60
Male,141,80,40.24,Cutting,2240,60
Male,180,75,23.15,Maintain,2475,30
Female,185,100,29.22,Cutting,2500,60
Female,197,154,39.68,Cutting,3850,60
Male,165,104,38.2,Cutting,2912,60
Female,168,90,31.89,Cutting,2250,60
Female,176,122,39.39,Cutting,3050,60
Male,181,51,15.57,Bulking,2040,45
Male,164,75,27.89,Cutting,2100,60
Female,166,140,50.81,Cutting,3500,60
Female,190,105,29.09,Cutting,2625,60
Male,186,118,34.11,Cutting,3304,60
Male,168,123,43.58,Cutting,3444,60
Male,198,50,12.75,Bulking,2000,45
Female,175,141,46.04,Cutting,3525,60
Male,145,117,55.65,Cutting,3276,60
Female,159,104,41.14,Cutting,2600,60
Female,185,140,40.91,Cutting,3500,60
Female,178,154,48.6,Cutting,3850,60
Female,183,96,28.67,Cutting,2400,60
Female,194,111,29.49,Cutting,2775,60
Male,177,61,19.47,Maintain,2013,30
Male,197,119,30.66,Cutting,3332,60
Female,170,156,53.98,Cutting,3900,60
Male,142,69,34.22,Cutting,1932,60
Male,160,139,54.3,Cutting,3892,60
Male,195,69,18.15,Bulking,2760,45
Female,190,50,13.85,Bulking,1750,45
Male,199,156,39.39,Cutting,4368,60
Male,154,105,44.27,Cutting,2940,60
Male,161,155,59.8,Cutting,4340,60
Female,198,145,36.99,Cutting,3625,60
Female,192,140,37.98,Cutting,3500,60
Male,195,126,33.14,Cutting,3528,60
Male,166,160,58.06,Cutting,4480,60
Male,159,154,60.92,Cutting,4312,60
Female,181,106,32.36,Cutting,2650,60
Male,149,66,29.73,Cutting,1848,60
Female,150,70,31.11,Cutting,1750,60
Female,146,157,73.65,Cutting,3925,60
Male,190,135,37.4,Cutting,3780,60
Female,192,90,24.41,Maintain,2700,30
Female,177,96,30.64,Cutting,2400,60
Male,148,60,27.39,Cutting,1680,60
Female,165,57,20.94,Maintain,1710,30
Female,146,104,48.79,Cutting,2600,60
Male,144,108,52.08,Cutting,3024,60
Female,176,156,50.36,Cutting,3900,60
Female,168,87,30.82,Cutting,2175,60
Male,187,122,34.89,Cutting,3416,60
Male,187,138,39.46,Cutting,3864,60
Female,184,160,47.26,Cutting,4000,60
Female,158,149,59.69,Cutting,3725,60
Male,158,96,38.46,Cutting,2688,60
Male,194,115,30.56,Cutting,3220,60
Female,145,79,37.57,Cutting,1975,60
Male,182,151,45.59,Cutting,4228,60
Male,154,54,22.77,Maintain,1782,30
Female,168,139,49.25,Cutting,3475,60
Female,187,70,20.02,Maintain,2100,30
Female,158,153,61.29,Cutting,3825,60
Female,167,110,39.44,Cutting,2750,60
Female,171,155,53.01,Cutting,3875,60
Female,183,150,44.79,Cutting,3750,60
Female,190,156,43.21,Cutting,3900,60
Male,194,108,28.7,Cutting,3024,60
Male,171,147,50.27,Cutting,4116,60
Male,159,124,49.05,Cutting,3472,60
Female,169,54,18.91,Maintain,1620,30
Female,167,85,30.48,Cutting,2125,60
Male,180,149,45.99,Cutting,4172,60
Male,163,123,46.29,Cutting,3444,60
Male,140,79,40.31,Cutting,2212,60
Male,197,125,32.21,Cutting,3500,60
Male,194,106,28.16,Cutting,2968,60
Female,140,146,74.49,Cutting,3650,60
Male,195,98,25.77,Cutting,2744,60
Female,168,115,40.75,Cutting,2875,60
Female,196,50,13.02,Bulking,1750,45
Male,140,52,26.53,Cutting,1456,60
Female,150,60,26.67,Cutting,1500,60
Female,168,140,49.6,Cutting,3500,60
Female,155,111,46.2,Cutting,2775,60
Female,179,103,32.15,Cutting,2575,60
Female,182,84,25.36,Cutting,2100,60
Male,168,160,56.69,Cutting,4480,60
Female,187,102,29.17,Cutting,2550,60
Male,181,105,32.05,Cutting,2940,60
Male,199,99,25,Cutting,2772,60
Female,184,76,22.45,Maintain,2280,30
Male,192,101,27.4,Cutting,2828,60
Female,182,143,43.17,Cutting,3575,60
Female,172,111,37.52,Cutting,2775,60
Male,181,78,23.81,Maintain,2574,30
Male,176,109,35.19,Cutting,3052,60
Female,156,106,43.56,Cutting,2650,60
Female,151,67,29.38,Cutting,1675,60
Female,188,80,22.63,Maintain,2400,30
Male,187,136,38.89,Cutting,3808,60
Male,174,138,45.58,Cutting,3864,60
Male,167,151,54.14,Cutting,4228,60
Female,196,131,34.1,Cutting,3275,60
Male,197,149,38.39,Cutting,4172,60
Female,185,119,34.77,Cutting,2975,60
Female,170,102,35.29,Cutting,2550,60
Female,181,94,28.69,Cutting,2350,60
Female,166,126,45.73,Cutting,3150,60
Male,188,100,28.29,Cutting,2800,60
Female,162,74,28.2,Cutting,1850,60
Male,177,117,37.35,Cutting,3276,60
Male,162,97,36.96,Cutting,2716,60
Male,180,73,22.53,Maintain,2409,30
Female,192,108,29.3,Cutting,2700,60
Male,165,80,29.38,Cutting,2240,60
Female,167,135,48.41,Cutting,3375,60
Female,182,84,25.36,Cutting,2100,60
Female,161,134,51.7,Cutting,3350,60
Male,158,95,38.05,Cutting,2660,60
Male,141,85,42.75,Cutting,2380,60
Male,154,100,42.17,Cutting,2800,60
Male,165,105,38.57,Cutting,2940,60
Female,142,137,67.94,Cutting,3425,60
Male,141,94,47.28,Cutting,2632,60
Male,145,108,51.37,Cutting,3024,60
Male,157,74,30.02,Cutting,2072,60
Female,177,117,37.35,Cutting,2925,60
Female,166,144,52.26,Cutting,3600,60
Male,193,151,40.54,Cutting,4228,60
Male,184,57,16.84,Bulking,2280,45
Male,179,93,29.03,Cutting,2604,60
Female,156,89,36.57,Cutting,2225,60
Male,182,104,31.4,Cutting,2912,60
Male,145,160,76.1,Cutting,4480,60
Female,150,87,38.67,Cutting,2175,60
Male,145,99,47.09,Cutting,2772,60
Female,196,122,31.76,Cutting,3050,60
Male,191,96,26.32,Cutting,2688,60
Female,148,67,30.59,Cutting,1675,60
Female,150,84,37.33,Cutting,2100,60
Male,148,155,70.76,Cutting,4340,60
Female,153,146,62.37,Cutting,3650,60
Female,196,159,41.39,Cutting,3975,60
Female,185,52,15.19,Bulking,1820,45
Female,171,131,44.8,Cutting,3275,60
Female,143,118,57.7,Cutting,2950,60
Female,142,86,42.65,Cutting,2150,60
Female,141,126,63.38,Cutting,3150,60
Male,159,109,43.12,Cutting,3052,60
Female,173,82,27.4,Cutting,2050,60
Male,183,138,41.21,Cutting,3864,60
Female,152,90,38.95,Cutting,2250,60
Male,178,140,44.19,Cutting,3920,60
Male,188,54,15.28,Bulking,2160,45
Female,155,144,59.94,Cutting,3600,60
Male,166,70,25.4,Cutting,1960,60
Male,188,123,34.8,Cutting,3444,60
Female,171,120,41.04,Cutting,3000,60
Male,179,130,40.57,Cutting,3640,60
Female,186,137,39.6,Cutting,3425,60
Female,153,78,33.32,Cutting,1950,60
Female,184,86,25.4,Cutting,2150,60
Female,177,81,25.85,Cutting,2025,60
Male,145,78,37.1,Cutting,2184,60
Male,170,81,28.03,Cutting,2268,60
Male,181,141,43.04,Cutting,3948,60
Male,165,155,56.93,Cutting,4340,60
Female,174,65,21.47,Maintain,1950,30
Female,146,110,51.6,Cutting,2750,60
Male,178,85,26.83,Cutting,2380,60
Male,166,61,22.14,Maintain,2013,30
